NEIGHBORHOOD,APN,LANDUSE,BESTSTAT,BESTDATE,NAMEADDR,Alias,CASENO,DESCRIPT,BPAPPLNO,PROPUSE,DBIDESC,UNITS,UNITSNET,AFFORDABLE,AFFORDABLENET,TOTAL_GSF,NET_GSF,CIE,CIENET,MED,MEDNET,MIPS,MIPSNET,PDR,PDRNET,RET,RETNET,VISIT,VISITNET,FirstFiled,EntitledStatus,SPONSOR,CONTACT,CONTACTPH,PLANNER,SOURCE,SUPE_DIST,PLN_DISTRICT,PLN_AREA,HEIGHT,ZONING_SIM,ZONE_NAME,geography
Potrero Hill,APN 3954016,Resident,PL FILED,09/16/2013,1301 16TH STREET,,2013.0698,"The proposed project would involve demolition of an existing one-story warehouse and construction of a new 7-story, residential building.  The building would consist of 7 residential levels with 276 units, ground floor parking and mechanical spaces. The",,,,276,276,0,0,0,-38600,0,0,0,0,0,0,0,-38600,0,0,0,0,09/16/2013,0,William Mollard,William Mollard,409-9267,CTEAGUE,CASE TRACKING,SUPERVISORIAL DISTRICT 10,South of Market,Showplace Square/Potrero Hill (EN),68-X,UMU,URBAN MIXED USE,"(37.76584514550, -122.40023935600)"
Mission,APN 4022001,Resident,PL FILED,06/12/2014,2070 BRYANT ST,,2013.0677,"The proposed project is the demolition of the 50,000 sf warehouse building at 2070 Bryant Street and construction of a new 6-story residential building with garage parking using conventional parking and parking stackers. The proposed project would constr",201406239109,APARTMENTS,,274,271,0,0,0,-50000,0,0,0,0,0,0,0,-50000,0,0,0,0,06/12/2014,0,Nick Podell,Linsey Perlov,415-296-8800,RSUCRE,CASE TRACKING,SUPERVISORIAL DISTRICT 9,Mission,Mission (EN),68-X,UMU,URBAN MIXED USE,"(37.76149953700, -122.41058133000)"
South of Market,APN 8710007,Resident,CONSTRUCTION,01/08/2016,718 LONG BRIDGE ST,ARDEN,,,201212246822,APARTMENTS,ERECT 16 STORIES & 263 DWELLING APARTMENT & PARKING.,263,263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12/24/2012,-1,,,,JBANALES,PERMIT TRACKING,SUPERVISORIAL DISTRICT 6,South of Market,Mission Bay,MB-RA,MB-RA,SEE MISSION BAY SOUTH REDEVELOPMENT PLAN,"(37.77180553880, -122.39418697800)"
Western Addition,APN 0647007,Mixres,CONSTRUCTION,01/14/2016,1634 - 1690 PINE ST,ROCKWELL,2011.1306,"1) Merge the six exiting assessor's lots, 2) demolish the existing five industrial/comercial bldgs. on the site and possibly maintain/incorporate some of the existing bldgs. facades into the new project and 3) construct a residential bldg. with some comm",201312184508,,,260,260,31,31,4886,6666,0,0,0,0,0,0,0,0,4886,6666,0,0,11/27/2000,-1,AIS,AIS,415.215.6,SSANCHEZ,CASE TRACKING,SUPERVISORIAL DISTRICT 2,Western Addition,Van Ness Corridor,130-E,NC-3,"NEIGHBORHOOD COMMERCIAL, MODERATE SCALE","(37.78959297440, -122.42295081000)"
Potrero Hill,APN 4172022,Mixres,CONSTRUCTION,12/14/2015,1201 - 1225 TENNESSEE STREET,,2012.0493,"Existing commercial structure to be demolished and replacde with 6 story mixed use building including approximately 300 dwelling units and 5,000 square feet of retail.",201312234917,,ERECT A 6 STORY RESIDENTIAL AND COMMERCIAL BUILDING.,259,259,34,34,5078,-139594,0,0,0,0,0,0,0,-79336,5078,-60258,0,0,04/11/2013,-1,Morton Rothman,Jesse Herzog,775-7005,CTEAGUE,CASE TRACKING,SUPERVISORIAL DISTRICT 10,South of Market,Central Waterfront (EN),68-X,UMU,URBAN MIXED USE,"(37.75592797580, -122.38860297400)"
Potrero Hill,APN 4167011,Resident,PL FILED,12/14/2015,1395 22ND ST,,2011.0671,"The proposed project includes the construction of a mixed-use building with 251 dwelling units, 29,780 sq.ft of PDR, and 205 off-street parking spaces.",201512145054,APARTMENTS,"TO ERECT 8 STORIES, 1 BASEMENT, 256 RESIDNETIAL, INDUSTRIAL BUILDING. 
(R-2,A-3,F-1,S-2)
** MAHER: N",256,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01/13/2014,0,Redmond Lyons,Redmond Lyons,415-810-3791,BFU,CASE TRACKING,SUPERVISORIAL DISTRICT 10,South of Market,Showplace Square/Potrero Hill (EN),40-X,PDR-1-G,"PRODUCTION, DISTRIBUTION & REPAIR - 1 - GENERAL","(37.75620342420, -122.39359366900)"
South of Market,APN 3750082,Mixres,PL FILED,10/06/2015,"667 FOLSOM ST, 120 HAWTHORNE ST, 126 HAWTHORNE ST",,2015-002604PRJ,"The proposal entails demolition of 126 Hawthorne Street, a 2 story concrete building and 667 Folsom Street, a 2 story concrete building.  The 19,589 square foot project site comprises three adjoining rectangular lots.  Following demolition, the proposal",,,,250,250,0,0,11179,-14735,0,0,0,0,0,-21914,0,-4000,11179,11179,0,0,03/04/2015,0,"EQR-Soma II LP, a Delaware limited",,4157677188,,CASE TRACKING,SUPERVISORIAL DISTRICT 6,South of Market,Central SoMa / East SoMa (EN),130-G,MUR,MIXED USE-RESIDENTIAL,"(37.78422098010, -122.39763082300)"
Lakeshore,APN 7335001,Resident,BP FILED,10/23/2015,"PARKMERCED, PHASE I",455 SERRANO DR,2014.137,,201510230640,APARTMENTS,TO ERECT A 11 STORIES OF 248 FAMILY DWELLINGS,248,248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10/23/2015,0,,,,,PERMIT TRACKING,SUPERVISORIAL DISTRICT 7,Ingleside,Parkmerced,45-PM,PM-OS,PARKMERCED-OPEN SPACE,"(37.71826625910, -122.48090814300)"
Downtown/Civic Center,APN 0813007,Mixres,PL APPROVED,05/28/2009,1390 MARKET ST,,2005.0979,"Fox Plaza currently contains two buildings: a 29-story mixed-use building and a two-story commercial building.  The proposal would demolish the existing two-story, 19,000 structure located on the NE corner of the lot and construct a new building which wo",,APARTMENTS,,230,230,0,0,17500,-1500,0,0,0,0,0,-9500,0,0,17500,8000,0,0,10/19/2005,-1,,,,DLEWIS,PERMIT TRACKING,SUPERVISORIAL DISTRICT 6,Downtown,Market and Octavia / Downtown,120-R-2,C-3-G,DOWNTOWN- GENERAL,"(37.77722361250, -122.41736136300)"
Bayview,APN 4591C001,Resident,CONSTRUCTION,01/07/2016,"HUNTERS POINT SHIPYARD, PHASE I",HP SHIPYARD PHASE 1 (REMAINING UNITS),2013.0196,,,,Multiple Permits,229,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02/29/2012,-1,,,,,PERMIT TRACKING,SUPERVISORIAL DISTRICT 10,South Bayshore,Hunters Point Shipyard,HP-RA,HP-RA,SEE HUNTERS POINT REDEVELOPMENT PLAN,"(37.72983494010, -122.37083909200)"
South of Market,APN 3514043,Mixres,PL FILED,02/11/2015,1601 MISSION ST,,2014.1121,"Proposing New Construction of a 120' tall building consisting of 11-stories, containing a total of 200 dwelling units, ground floor retail/commercial space, 103 bicycle parking spaces, 2-car share spaces and 93 off-street parking spaces.",,,,220,220,0,0,9900,5471,9900,5471,0,0,0,0,0,0,0,0,0,0,07/17/2014,0,,,,TCHANG,CASE TRACKING,SUPERVISORIAL DISTRICT 6,Mission,Market and Octavia / Downtown,120-R-2,C-3-G,DOWNTOWN- GENERAL,"(37.77204073220, -122.41876324800)"
South of Market,APN 3521022,Resident,PL FILED,11/12/2015,333 12TH ST,,2015-004109PRJ,"The proposed project is to demolish both the existing building and the parking lot and redevelop the site, per the State's Density Bonus law (California Government Code Sections 65915-65918), into an ""affordable-by-design / workforce"" rental housing proj",,,,219,219,18,18,0,-21630,0,0,0,0,0,-21630,0,0,0,0,0,0,04/23/2015,0,Panoramic Interests,,5108831000,RSUCRE,CASE TRACKING,SUPERVISORIAL DISTRICT 6,Mission,Western SoMa (EN) / South of Market,55/65-X,WMUG,WSOMA MIXED USE-GENERAL,"(37.77081824330, -122.41400729800)"
South of Market,APN 3703059,Resident,BP ISSUED,11/17/2015,1095 MARKET ST,GRANT BUILDING,,,201409116118,TOURIST HOTEL/MOTEL,CHANGE OF OCCUPANCY FROM OFFICE TO HOTEL. NEW 202 HOTEL ROOMS. NEW ROOF DECK. ADD NEW STORY WITHIN (,202,202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,09/11/2014,-1,,,,CGROB,PERMIT TRACKING,SUPERVISORIAL DISTRICT 6,Downtown,Downtown,90-X,C-3-G,DOWNTOWN- GENERAL,"(37.78032868840, -122.41201361200)"
South of Market,APN 8711031,Resident,CONSTRUCTION,01/06/2016,MISSION BAY BLOCK 7,588 MISSION BAY BLVD NORTH BL,,,201404042522,,ERECT 5 STORY 200 RESIDENTIAL UNITS AND COMMERCIAL UNITS.,200,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,04/04/2014,-1,,,,,OCII,SUPERVISORIAL DISTRICT 6,South of Market,Mission Bay,MB-RA,MB-RA,SEE MISSION BAY SOUTH REDEVELOPMENT PLAN,"(37.77145701630, -122.39085776200)"
Downtown/Civic Center,APN 0350002,Mixres,PL FILED,04/29/2014,1028 MARKET ST,,2014.0241,"The property is currently improved by a vacant two-story structure.  The project would demolish the existing 2-story commercial building and construct a 13-story mixed use building with 12 floors of residential use above ground floor retail, as well as t",,CLUB,,186,186,0,0,9675,9675,0,0,0,0,0,0,0,0,9675,9675,0,0,04/29/2014,0,Sally Maxwell,Sally Maxwell,883-0133,DDWYER,CASE TRACKING,SUPERVISORIAL DISTRICT 6,Downtown,Downtown,120-X,C-3-G,DOWNTOWN- GENERAL,"(37.78188348100, -122.41132333400)"
Financial District,APN 3706093,Mixres,BP ISSUED,10/27/2015,706 MISSION ST,MEXICAN MUSEUM,2008.1084,"The proposed project would result in partial demolition and rehabilitation of the Arson Mercantile Building into a new 42-story, 500-foot high building containing 185 residences, retail, and the 36,560 sf Mexican Musuem. The proposed project would also i",201312204747,,,185,185,0,0,174400,25570,0,0,0,0,0,-119330,0,0,174400,144900,0,0,10/26/2012,-1,Sean Jeffries,Sean Jeffries,593-1100,SJONES,CASE TRACKING,SUPERVISORIAL DISTRICT 6,Downtown,Yerba Buena / Central SoMa / Downtown,400-I,C-3-R,DOWNTOWN- RETAIL,"(37.78620609590, -122.40253249000)"
Western Addition,APN 0831023,Mixres,CONSTRUCTION,12/31/2014,PARCEL P - MARKET OCTAVIA,323 - 325 OCTAVIA ST,2011.0744,"Mixed Use Development - Residential over podium garage, approx. 182 units of apartments, 126 spaces maximum parking garage, leasing fitness and 3,900 sq.ft. corner retail space (at Octavia & Laguna Streets) in Hayes NCT, RTO Districts.",201210051462,,"TO ERECT 5 STORIES, 182 UNITS APARTMENT, RETAIL & PARKING BUILDING.",182,182,0,0,3897,3897,0,0,0,0,0,0,0,0,3897,3897,0,0,08/03/2011,-1,Meg Spriggs,Meg Spriggs,415-284-9087,KGUY,CASE TRACKING,SUPERVISORIAL DISTRICT 5,Western Addition,Market and Octavia,50-X,RTO,RESIDENTIAL TRANSIT ORIENTED DISTRICT,"(37.77496211000, -122.42511956500)"
South of Market,APN 3780044,Resident,PL FILED,10/29/2015,975 BRYANT ST,,2015-005862PRJ,"The proposed project is to demolish the existing 32,407 square foot Formula Retail building and to construct a new 5-story over basement, 120 unit residential building with basement parking containing 117 parking spaces with a total of 211,000 gross squa",,,,182,182,0,0,2397,-30010,0,0,0,0,0,0,0,0,2397,-30010,0,0,10/02/2015,0,ThompsonDorfman,,6504778115,AHUISMAN,CASE TRACKING,SUPERVISORIAL DISTRICT 6,South of Market,Showplace Square/Potrero Hill (EN) / South of Market,48-X,UMU,URBAN MIXED USE,"(37.77287079100, -122.40565920800)"
Downtown/Civic Center,APN 0836005,Mixres,PL FILED,12/03/2015,1540 MARKET ST,,2009.0159,"Construction of two buildings: one residential tower building, 400' in height, with 180-du and 50 parking spaces, and one 24-ft wide building, 65' in height, connected by pedestrian bridge at the third floor.  Demo of existing four-story commercial build",,,,180,180,0,0,31449,-14843,0,0,0,0,15281,-22827,0,0,16168,7984,0,0,02/27/2009,0,Richard Johnson,Andrew Junius,415 567 9000,TCHANG,CASE TRACKING,SUPERVISORIAL DISTRICT 5,Buena Vista,Market and Octavia / Downtown,120-R-2,C-3-G,DOWNTOWN- GENERAL,"(37.77505774770, -122.41996582700)"
Bayview,APN 4591C001,Resident,BP FILED,12/14/2015,"HUNTERS POINT SHIPYARD, PHASE I",HP SHIPYARD PHASE 1 (REMAINING UNITS),2013.0196,,,,Multiple Permits,179,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12/14/2015,0,,,,,PERMIT TRACKING,SUPERVISORIAL DISTRICT 10,South Bayshore,Hunters Point Shipyard,HP-RA,HP-RA,SEE HUNTERS POINT REDEVELOPMENT PLAN,"(37.72983494010, -122.37083909200)"
South of Market,APN 3764063,Resident,BP FILED,06/18/2014,525 HARRISON ST,,2013.0159,"The proposed project includes demolition of the existing two-story former industrial building (27,500 gsf), and the new construction of a 23-story residential building (approximately 255,468 gross square feet; up to 250-ft tall) with up to 205 dwelling u",201406188773,APARTMENTS,"TO ERECT 17 STORIES, 3 BASEMENT, 179 DWELLING UNITS & RETAIL BUILDING. ** MAHER: COMPLIANCE WITH ORDINANCE NO. 155-13 REQUIRED; ROUTE TO DPH **",179,179,25,25,0,-16000,0,-16000,0,0,0,0,0,0,0,0,0,0,02/12/2013,0,,,,,PERMIT TRACKING,SUPERVISORIAL DISTRICT 6,South of Market,Rincon Hill,65/400-R,RH DTR,RINCON HILL DOWNTOWN RESIDENTIAL,"(37.78536720620, -122.39335932400)"
South of Market,APN 3732003,Mixres,PL FILED,03/25/2015,909-921 HOWARD STREET & 206 5TH STREET,216 05TH ST,2012.1047,"The project site is located on 8 lots in the 3732 block: 003, 004, 005, 099, 100, 145A, 146 & 149.  Three lots are occupied by 2-story commercial bldgs., and the remaining are improved with a single surface paid-parking lot.  These will be replaced by a",,,,172,172,60,60,9895,-9973,0,0,0,0,0,0,0,-19868,9895,9895,0,0,08/08/2012,0,,,,,manual,SUPERVISORIAL DISTRICT 6,South of Market,Central SoMa / East SoMa (EN) / South of Market,85-X,MUR,MIXED USE-RESIDENTIAL,"(37.78106654990, -122.40481863300)"
South of Market,APN 3749058,Resident,PL FILED,12/04/2014,390 01ST ST,,2014.1041,"The proposed project is to demolish the existing 1,590 square foot automobile service station and construct a 201,079 square foot, 13-story, 13-story, 130-foot tall residential building that includes 164,957 square feeto of habitable space and 36,122 squ",,,,170,170,20,20,757,-833,0,0,0,0,0,0,0,0,757,-833,0,0,07/03/2014,0,,,,DVU,CASE TRACKING,SUPERVISORIAL DISTRICT 6,South of Market,Rincon Hill,65/400-R,RH DTR,RINCON HILL DOWNTOWN RESIDENTIAL,"(37.78609147800, -122.39347293200)"
Downtown/Civic Center,APN 0331010,Mixres,PL APPROVED,03/26/2009,168 EDDY ST,,2007.1342,"100% Affordable housing, approx 170-u over 15,000 retail. TNDC.",,,,170,170,170,170,15000,15000,0,0,0,0,0,0,0,0,15000,15000,0,0,07/30/2008,-1,Nick Griffin,Nick Griffin,415.776.2151,KGUY,CASE TRACKING,SUPERVISORIAL DISTRICT 6,Downtown,,80-T-130-T,RC-4,"RESIDENTIAL- COMMERCIAL, HIGH DENSITY","(37.78445260930, -122.41065475600)"
Financial District,APN 0201012,Mixres,PL APPROVED,08/30/2012,8 WASHINGTON ST,,2007.003,The proposed project would include the temporary removal of the existing Golden Gateway Tennis and Swim Club facility and the new construction of two mixed use buildings and outdoor health club facilities. The new buildings would include 170 residential,201203276954,,,170,170,0,0,32100,32100,0,0,0,0,1500,1500,0,0,30600,30600,0,0,12/04/2007,-1,Hamilton,Hamilton,650 373-1,NTURRELL,manual,SUPERVISORIAL DISTRICT 3,Northeast,Northeast Waterfront / Northeast Embarcadero Study,84-E,RC-4,"RESIDENTIAL- COMMERCIAL, HIGH DENSITY","(37.79691372730, -122.39665067600)"
South of Market,APN 3702047,Mixres,PL FILED,12/18/2013,1125 MARKET ST,,2013.0511,"Construction of a 12-story,100,422 sf bldg containing 164 dwelling units, 3,005 sf of ground-floor retail, and 47 parking spaces.",,,,164,164,0,0,3005,3005,0,0,0,0,0,0,0,0,3005,3005,0,0,12/18/2013,0,Maritz Pr,Patri Mer,415.284.1,TBLOMGRE,CASE TRACKING,SUPERVISORIAL DISTRICT 6,Downtown,Downtown,120-X,C-3-G,DOWNTOWN- GENERAL,"(37.77975627090, -122.41273619900)"
Downtown/Civic Center,APN 0811002,Mixres,CONSTRUCTION,12/03/2015,101 POLK ST,,2011.0702,"The proposed project is the construction of a 14 story, 163 unit residential building with 52 subgrade parking spaces on an existing surface parking lot.",201307051190,,"ERECT 13 STORIES, 162 DWELLING UNITS, WITH PARKING AND OFFICE BUILDING.",162,162,19,19,523,523,0,0,0,0,0,0,0,0,523,523,0,0,04/13/2012,-1,"Emerald Fund, Inc.",Marc Babsin,415-489-1313,ACONTRER,CASE TRACKING,SUPERVISORIAL DISTRICT 6,Downtown,Civic Center / Downtown,120-X,C-3-G,DOWNTOWN- GENERAL,"(37.77774073440, -122.41831840500)"
Mission,APN 6571001,Mixres,PL FILED,01/28/2015,1515 SOUTH VAN NESS AV,,2014.102,"Demolition of existing commercial building and construction of a 160 unit rental apartment home community with 1,440 sf retail within a building measuring 65' along S. Van Ness and stepping down to 55' along Shotwell Street.  Lennar intends to accommodat",,,,160,160,20,20,1024,-30656,0,0,0,0,0,-31680,0,0,1024,1024,0,0,12/03/2014,0,,,,DVU,CASE TRACKING,SUPERVISORIAL DISTRICT 9,Mission,Mission (EN),55-X,NCT,MISSION STREET NEIGHBORHOOD COMMERCIAL TRANSIT,"(37.74902745540, -122.41499508700)"
Nob Hill,APN 0244001,Mixres,PL FILED,02/11/2009,950 MASON ST,,2008.0081,"Fairmont Hotel tower/base demo and rebuild to similar bldg envelope, with additional mid-rise, resulting in 160,000-gsf net new, +160 condominiums, -200 hotel rooms, total 965,000-gsf.",,,,160,160,0,0,310000,-295000,0,0,0,0,0,0,0,0,55000,5000,255000,-300000,02/11/2009,0,Heather Turner,Lucian Robert Blazej,415 695-1111,TFRYE,CASE TRACKING,SUPERVISORIAL DISTRICT 3,Northeast,,300-E-2,RM-4,"RESIDENTIAL- MIXED, HIGH DENSITY","(37.79242535130, -122.41009255200)"
South of Market,APN 3504030,Mixres,BP FILED,06/10/2014,1699 MARKET ST,FLAX SITE,2014.0484,"The proposed project would demolish an existing 60 year old 1 & 2 story industrial/commercial building and surface parking lot and construct a new 9-story residential (162 units) and commercial (3,937 sf) building with 97 below-grade parking spaces.",201406108024,APARTMENTS,"TO ERECT 9 STORIES, 1 BASEMENT, 160 RESIDENTIAL, COMMERCIAL & BELOW GRADE PARKING BUILDING.",160,160,0,0,3937,-18233,3937,-18233,0,0,0,0,0,0,0,0,0,0,03/28/2014,0,,,,DVU,CASE TRACKING,SUPERVISORIAL DISTRICT 6,Mission,Market and Octavia,85-X,NCT-3,MODERATE SCALE NEIGHBORHOOD COMMERCIAL TRANSIT DISTRICT,"(37.77233473150, -122.42194349100)"
Financial District,APN 3708012,Mixres,BP FILED,06/04/2014,"OCEANWIDE, MISSION ST TOWER",526 MISSION ST,2006.1523,"The project site consist of three undeveloped lots and four buildings ranging from five to seven stories, totaling approx. 251,000 sq. ft. of office, retail, and commercial uses. There are no off-street parking or loading on the site. The proposed projec",201510301302,,,153,153,0,0,249034,247384,0,0,0,0,0,0,0,0,3139,1489,245895,245895,12/21/2006,0,Mark Solit,Joel Yodowitz,415 567-9000,KGUY,CASE TRACKING,SUPERVISORIAL DISTRICT 6,Downtown,Transit Center District / Downtown,550-S,C-3-O(SD),DOWNTOWN- OFFICE (SPECIAL DEVELOPMENT),"(37.78947125520, -122.39838532100)"
South of Market,APN 8715004,Resident,BP ISSUED,11/17/2015,MISSION BAY BLOCK 1,110 CHANNEL,,,201408133766,APARTMENTS,"TO ERECT 6 STORIES, 1 BASEMENT, 152 RESIDENTIAL APARTMENT, OFFICE, RETAIL & PARKING BUILDING.
** MAHER: COMPLIANCE WITH ORDINANCE NO# 155-13 REQUIRED **",152,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,08/13/2014,-1,,,,,OCII,SUPERVISORIAL DISTRICT 6,South of Market,Mission Bay,MB-RA,MB-RA,SEE MISSION BAY SOUTH REDEVELOPMENT PLAN,"(37.77505087860, -122.39064339200)"
Western Addition,APN 1216017,Mixres,PL FILED,10/15/2015,400 - 444 DIVISADERO ST,,2015-007816PRJ,"1) Demolish existing car wash and gas station on Divisadero and two existing buildings on Oak; 2) Relocate one existing building on Oak to new location 50 feet to the east; and 3) Construct new 148,000 GSF residential building 4-6 stories in height, as w",,,,154,152,0,0,7787,4457,0,0,0,0,0,0,0,0,7787,4457,0,0,08/13/2015,0,,,,,CASE TRACKING,SUPERVISORIAL DISTRICT 5,Western Addition,,65-A,NCT,DIVISADERO STREET NEIGHBORHOOD COMMERCIAL TRANSIT DISTRICT,"(37.77343711450, -122.43712116000)"
South of Market,APN 3753147,Mixres,PL FILED,11/20/2015,5TH ST / CLARA ST / SHIPLEY ST,,2015-005863PRJ,"Demolish existing commercial buildings and construct new mixed use retail and residential building.

The PPA was submitted on 4/15/15 and the 90 day deadline is 7/14/15.",,,,146,146,0,0,0,-18000,0,0,0,0,0,0,0,-18000,0,0,0,0,09/15/2015,0,,,,,CASE TRACKING,SUPERVISORIAL DISTRICT 6,South of Market,Central SoMa / East SoMa (EN) / South of Market,45-X,MUR,MIXED USE-RESIDENTIAL,"(37.77948712000, -122.40306460600)"
Western Addition,APN 0794028,Mixres,CONSTRUCTION,01/13/2016,555 FULTON ST,,2005.1085,,201305036062,APARTMENTS,"TO ERECT 5 STORIES OF 139 DWELLING UNITS, RETAIL, PARKING, STORAGE OFFICE UTILITY, ASSEMBLY",139,139,17,17,32800,13180,0,0,0,0,0,0,0,-19620,32800,32800,0,0,05/03/2013,-1,,,,MJACINTO,PERMIT TRACKING,SUPERVISORIAL DISTRICT 5,Western Addition,Market and Octavia,40-X/50-X,RTO,RESIDENTIAL TRANSIT ORIENTED DISTRICT,"(37.77816804100, -122.42575227900)"
Downtown/Civic Center,APN 0345017,Resident,PL APPROVED,04/30/2014,351V TURK ST & 145 LEAVENWORTH ST,361 TURK ST,2012.1531,,,,,137,137,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12/13/2012,-1,,,,KCONNER,CASE TRACKING,SUPERVISORIAL DISTRICT 6,Downtown,,80-T,RC-4,"RESIDENTIAL- COMMERCIAL, HIGH DENSITY","(37.78237567640, -122.41490512900)"
Downtown/Civic Center,APN 0691005,Mixres,PL FILED,12/17/2015,1200 VAN NESS AV,,2015-012577PRJ,"The proposed project will be the construction of 130' high, 13-story, 272,796 gsf mixed use (retail/commercial/residential) building with a parking garage for 357 cars in five below grade levels.  The proposed project will have retail which may include a",,,,135,135,0,0,123073,23370,0,0,0,0,91093,37608,0,0,31980,-14238,0,0,09/21/2015,0,,,,,CASE TRACKING,SUPERVISORIAL DISTRICT 3,Downtown,Van Ness Corridor,130-V,RC-4,"RESIDENTIAL- COMMERCIAL, HIGH DENSITY","(37.78694360970, -122.42098584000)"
Financial District,APN 3741031,Mixres,PL FILED,01/13/2012,75 HOWARD ST,,2011.1122,Proposes to demolish the existing 8 -story parking garage (containing 550 parking spaces). The project would construct a residential bldg. containing 175 residential units and a below-grade parking garage. The parking garage would contain accessory parki,,,,133,133,0,0,17900,17900,0,0,0,0,0,0,0,0,17900,17900,0,0,01/13/2012,0,Jim Abrams,Jim Abrams,415 393 8370,DLEWIS,CASE TRACKING,SUPERVISORIAL DISTRICT 6,South of Market,Transit Center District / Downtown,200-S,C-3-O(SD),DOWNTOWN- OFFICE (SPECIAL DEVELOPMENT),"(37.79155787670, -122.39167150000)"
