NEIGHBORHOOD,BLKLOT,NAMEADDR,UNITS,UNITSNET,BESTDATE,BESTSTAT,EntitlementStatus,CASENO,DESCRIPT,PLN_REVIEW,PLN_REVIEWDATE,BPAPPLNO,PROPUSE,DBIDESC,DBI_ACTION,DBI_ACTDATE,NEW_REHAB,source,TOTAL_GSF,RET,MIPS,CIE,MED,PDR,VISIT,NET_GSF,CIENET,MEDNET,MIPSNET,PDRNET,RETNET,VISITNET,FILEDATE,LANDUSE,StandardAddress,alias,Entitlement,sort,sizecat,AFFORDABLE,AFFNET,zoning_gen,ZONING_SIM,ZONINGDISTRICTNAME,HEIGHTLIMIT,SPONSOR,CONTACT,Geography
Financial District,3741031,75 HOWARD ST,186,186,01/13/2012 12:00:00 AM,PL FILED,false,2011.1122,Proposes to demolish the existing 8 -story parking garage (containing 550 parking spaces). The project would construct a residential bldg. containing 175 residential units and a below-grade parking garage. The parking garage would contain accessory parki,,,,,,,,N,CASE TRACKING,17900,17900,0,0,0,0,0,17900,0,0,0,0,17900,0,01/13/2012,Mixres,75 Howard St,,false,Planning Filed,100-249,0,0,Commercial,C-3-O(SD),DOWNTOWN- OFFICE (SPECIAL DEVELOPMENT),200-S,Jim Abrams,Jim Abrams,"(37.791558000000002, -122.391672)"
Financial District,3706093,706 MISSION ST,185,185,07/31/2013 12:00:00 AM,PL APPROVED,true,2008.1084,"The proposed project would result in partial demolition and rehabilitation of the Arson Mercantile Building into a new 42-story, 500-foot high building containing 185 residences, retail, and the 36,560 sf Mexican Musuem. The proposed project would also i",Approved,07/31/2013,,,,,,N,CASE TRACKING,174400,174400,0,0,0,0,0,25570,0,0,-119330,0,144900,0,10/26/2012,Mixres,706 Mission St,,true,PL Approved,100-249,0,0,Commercial,C-3-R,DOWNTOWN- RETAIL,400-I,Sean Jeffries,Sean Jeffries,"(37.786009900000003, -122.40253869999999)"
Western Addition,0831023,MARKET OCTAVIA - PARCEL P,182,182,12/31/2014 12:00:00 AM,CONSTRUCTION,true,2011.0744,"Mixed Use Development - Residential over podium garage, approx. 182 units of apartments, 126 spaces maximum parking garage, leasing fitness and 3,900 sq.ft. corner retail space (at Octavia & Laguna Streets) in Hayes NCT, RTO Districts.",Approved,06/28/2012,201210051462,APARTMENTS,"TO ERECT 5 STORIES, 182 UNITS APARTMENT, RETAIL & PARKING BUILDING.",SOUND TRANSMISS,12/31/2014,N,CASE TRACKING,3897,3897,0,0,0,0,0,3897,0,0,0,0,3897,0,08/03/2011,Mixres,307 Octavia St,,true,Construction,100-249,0,0,Residential,RTO,RESIDENTIAL TRANSIT ORIENTED DISTRICT,40-X,Meg Spriggs,Meg Spriggs,"(37.774762299999999, -122.4259404)"
South of Market,3732150,240 05TH ST,182,182,08/27/2012 12:00:00 AM,BP ISSUED,true,,,,,201203196326,APARTMENTS,SHORING DURING CONSTRUCTION EXCAVATION. NEW CONSTRUCTION UNDER SEPARATE APPLN #201106017202,ISSUED,08/27/2012,R,PERMIT TRACKING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Resident,240 05th St,,true,BP Approved/Issued/Re-Instated,100-249,0,0,Mixed Use,MUR,MIXED USE-RESIDENTIAL,85-X,,,"(37.780956799999998, -122.4042771)"
Financial District,0201012,8 WASHINGTON STREET,170,170,06/19/2012 12:00:00 AM,PL APPROVED,true,2007.0030,The proposed project would include the temporary removal of the existing Golden Gateway Tennis and Swim Club facility and the new construction of two mixed use buildings and outdoor health club facilities. The new buildings would include 170 residential,Approved,06/19/2012,,,,,,,Teresa+CASE TRACK,32100,30600,1500,0,0,0,0,32100,0,0,1500,0,30600,0,12/04/2007,Mixres,8 Washington St,,true,PL Approved,100-249,0,0,Commercial,C-2,COMMUNITY BUSINESS,84-E,Hamilton,Hamilton,"(37.795891599999997, -122.4005452)"
South of Market,3702047,1125 MARKET ST,164,164,12/18/2013 12:00:00 AM,PL FILED,false,2013.0511,"Construction of a 12-story,100,422 sf bldg containing 164 dwelling units, 3,005 sf of ground-floor retail, and 47 parking spaces.",,,,,,,,,CASE TRACKING,3005,3005,0,0,0,0,0,3005,0,0,0,0,3005,0,12/18/2013,Mixres,1125 Market St,,false,Planning Filed,100-249,0,0,Commercial,C-3-G,DOWNTOWN- GENERAL,120-X,Maritz Pr,Patri Mer,"(37.779755999999999, -122.412736)"
Downtown/Civic Center,0811002,101 POLK ST,162,162,03/31/2015 12:00:00 AM,CONSTRUCTION,true,2011.0702,"The proposed project is the construction of a 14 story, 163 unit residential building with 52 subgrade parking spaces on an existing surface parking lot.",,01/01/2011,201307051190,APARTMENTS,"ERECT 13 STORIES, 162 DWELLING UNITS, WITH PARKING AND OFFICE BUILDING.",OK TO COVER,03/31/2015,N,CASE TRACKING,523,523,0,0,0,0,0,523,0,0,0,0,523,0,04/13/2012,Mixres,101 Polk St,,true,Construction,100-249,0,0,Public,P,PUBLIC,120-X,"Emerald Fund, Inc.",Marc Babsin,"(37.777539900000001, -122.4179975)"
South of Market,3509043,1321 MISSION STREET,160,160,03/31/2015 12:00:00 AM,CONSTRUCTION,true,2011.0312,"To demolish existing building and construct a nex mixed-use building of 120 feet in height, 11 stories, with 180 dwelling units, over 4,400 sf ground level commercial and a basement in a C-3-S zoning district. The project would provide one car-share spac",APPR/WC,01/24/2013,201301319232,APARTMENTS,"TO ERECT 160 UNITS, 11 STORIES WITH BASEMENT MIX USE BUILDING.","ROUGH FRAME, PA",03/31/2015,N,CASE TRACKING,5311,5311,0,0,0,0,0,-7907,0,0,0,0,-7907,0,09/29/2011,Mixres,1321 Mission St,104 9th Street,true,Construction,100-249,10,10,Commercial,C-3-S,DOWNTOWN SUPPORT,55-X,1985 Shelley Living Trust,William Mollard,"(37.775904799999999, -122.41496650000001)"
South of Market,3510001,1415 MISSION ST,156,156,04/01/2015 12:00:00 AM,CONSTRUCTION,true,2005.0540,"Demo. of a tire store and construction of a 16-story mixed-use project with 156 dwelling units, 156 off-street valet parking spaces, and 2,350 GSF of ground floor retail use & 2,430 sf office.  Zoning Map Change, CU, and Section 309.",APPR/WC,11/12/2009,200810315586,APARTMENTS,CONSTRUCTION OF FOURTEEN STORIES WITH 3 BASEMENTS ONE HUNDRED SEVENTEEN UNITS W/COMMERCIAL MIXED USE,ROUGH FRAME,04/01/2015,,CASE TRACKING,4780,2350,2430,0,0,0,0,300,0,0,2430,-4480,2350,0,08/27/2009,Mixres,1415 Mission St,,true,Construction,100-249,0,0,Commercial,C-3-G,DOWNTOWN- GENERAL,130-L,Charles J. Higley,Charles J. Higley,"(37.774896499999997, -122.4159124)"
Downtown/Civic Center,0330004,33 POWELL ST,155,17,10/01/2014 12:00:00 AM,BP FILED,false,,,,,201410017815,TOURIST HOTEL/MOTEL,"UPGRADE THROUGHOUT. REMODEL BASEMENT, GROUND FLOOR LOBBY & MEZZANINE. REMODEL HOTEL ROOMS & INCREASE",,,R,PERMIT TRACKING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Resident,33 Powell St,,false,BP Filed,10-19,0,0,Commercial,C-3-R,DOWNTOWN- RETAIL,80-130-F,,,"(37.784885000700001, -122.40814882399999)"
Downtown/Civic Center,0340002,19-25 MASON ST & 2-16 TURK ST,155,155,03/04/2014 12:00:00 AM,PL APPROVED,true,2012.0678,"Development of the two adjoining parking lots on either side of The Metropolis Hotel. The Metropolis will stay in place and continue as a hotel. The schematic design is to replace the existing surface parking lot with a residential development, including",Approved,03/04/2014,,,,,,R,CASE TRACKING,2825,2825,0,0,0,0,0,2825,0,0,0,0,2825,0,08/14/2012,Mixres,19 Mason St,,true,PL Approved,100-249,0,0,Commercial,C-3-G,DOWNTOWN- GENERAL,120-X,John Kevlin,John Kevlin,"(37.783439000000001, -122.4091452)"
Financial District,3719010,181 FREMONT ST,140,140,03/13/2015 12:00:00 AM,CONSTRUCTION,true,2007.0456,"66-story office mixed-use high-rise project, 796,933 total gsf, 878-ft, with class A office space (floors 2-44), 140 units residential (floors 47-65), with sky lobby, and auto lift-accessed 241-space 4-level underground parking;  requiring demolition of",Approved,03/15/2013,201305015894,APARTMENTS,"TO ERECT 54 STORIES, 5 BASEMENT, 74 RESIDENTIAL WITH COMMERCIAL, PARKING BUILDING.",OK TO POUR,03/13/2015,N,CASE TRACKING,530316,0,530316,0,0,0,0,492866,0,0,492866,0,0,0,05/15/2007,Mixres,181 Fremont St,,true,Construction,100-249,0,0,Commercial,C-3-O(SD),DOWNTOWN- OFFICE (SPECIAL DEVELOPMENT),700-S-2,Daniel Kingsley,Daniel Kingsley,"(37.789645, -122.39542400000001)"
Western Addition,0794028,555 FULTON ST,139,139,03/31/2015 12:00:00 AM,CONSTRUCTION,true,,,,,201305036062,APARTMENTS,"TO ERECT 5 STORIES OF 139 DWELLING UNITS, RETAIL, PARKING, STORAGE OFFICE UTILITY, ASSEMBLY",REINFORCING STE,03/31/2015,N,PERMIT TRACKING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Resident,555 Fulton St,,true,Construction,100-249,0,0,Residential,RTO,RESIDENTIAL TRANSIT ORIENTED DISTRICT,40-X/50-X,,,"(37.7781941, -122.42581)"
Western Addition,0794015,746 LAGUNA ST,136,136,05/13/2010 12:00:00 AM,CONSTRUCTION,true,2005.1085,"Demolition of existing 2-story industrial and office bldgs. of 19,620 sf with 70 parking spaces.  Construct residential bldg. of 143 units with 21,945 sf of commercial space on the ground floor, and 165 parking spaces.  22 parking spaces will be at the g",Approved,05/13/2010,201305036062,APARTMENTS,,,,,BLDG PERMIT,19620,0,19620,0,0,0,0,2325,0,0,-19620,0,21945,0,08/29/2008,Mixres,746 Laguna St,,true,PL Approved,100-249,0,0,Residential,RTO,RESIDENTIAL TRANSIT ORIENTED DISTRICT,40-X/50-X,,,"(37.778094699999997, -122.42641860000001)"
Western Addition,0857001,55 LAGUNA STREET,133,133,03/19/2015 12:00:00 AM,CONSTRUCTION,true,2004.0773,"Mixed-use project which would include construction of seven new buildings and the adaptive re-use of two existing buildings for 491 dwelling units, 421 off-street parking spaces, 3,500 GSF of retail use, 12,000 GSF for a dental clinic, and 12,590 GSF for",CEQA,03/04/2008,201209059006,APARTMENTS,,"ROUGH FRAME, PA",03/19/2015,,CASE TRACKING,3500,3500,0,0,0,0,0,3500,0,0,0,0,3500,0,10/31/2006,Mixres,55 Laguna St,,true,Construction,100-249,160,160,Mixed Use,NC-3,"NEIGHBORHOOD COMMERCIAL, MODERATE SCALE",40-X/85-X/50-X,Ruthy Bennett,Ruthy Bennett,"(37.7710334, -122.4252554)"
South of Market,3728019,1298 HOWARD STREET,121,121,03/19/2014 12:00:00 AM,PL FILED,false,2014.0011,"The proposed project would contain 121 residential units, 10,050 sq.ft. of flex office/retail space.  Also proposed is a pedestrian alley connecting Howard and Natoma Streets.  The design of the project embraces the intent of Western SOMA zoning, respect",,02/28/2014,,,,,,N,CASE TRACKING,10050,0,10050,0,0,0,0,10050,0,0,10050,0,0,0,03/19/2014,Mixres,1298 Howard St,,false,Planning Filed,100-249,0,0,Mixed Use,RCD,REGIONAL COMMERCIAL,45-X,John Kevlin,John Kevlin,"(37.775029000000004, -122.41318200000001)"
Potrero Hill,4041009,630 INDIANA ST,121,121,12/24/2014 12:00:00 AM,BP ISSUED,true,2012.1574,"The proposed project includes demolition of the existing structures on the project site and construction of an approximately 114,700 sf building with 111 residential units and approximately 1,900 sf of ground-floor neighborhood-serving retail uses. The p",,,,APARTMENTS,"680 I: TO ERECT 5 STORIES OF 51 DWELLING UNITS WITH ASSEMBLY/PARKING
660 i: ERECT 5 STORIES, 60 DWELLING UNITS.",ISSUED,12/24/2014,,BLDG PERMIT,1417,1417,0,0,0,0,0,-7193,0,0,0,0,-7193,0,,Resident,630 Indiana St,,true,BP Approved/Issued/Re-Instated,100-249,0,0,Mixed Use,UMU,URBAN MIXED USE,58-X,,,"(37.762477199999999, -122.39165010000001)"
Potrero Hill,4060001,888 TENNESSEE ST,120,120,10/16/2013 12:00:00 AM,PL APPROVED,true,2013.0975,"The proposed project is the demolition of an existing two-story building and construction of two four-story residential-over-retail building containing 110 dwelling units, 2,155 sq.ft. of retail use, and 10,073 sq.ft. of courtyard open space.  The projec",Approved,10/16/2013,,,,,,N,CASE TRACKING,90859,90859,0,0,0,0,0,52339,0,0,0,-38520,90859,0,12/03/2013,Mixres,888 Tennessee St,,true,PL Approved,100-249,0,0,Mixed Use,UMU,URBAN MIXED USE,45-X,Andrew Junius,Andrew Junius,"(37.760472, -122.389501)"
South of Market,3747012,325 FREMONT ST,119,119,07/17/2014 12:00:00 AM,PL APPROVED,true,2012.1025,"The proposed project would construct a 250-foot tall residential tower , containing 119 dwelling units and 61 off-street parking spaces.  The current planning is for resident parking below grade; lobby, bike parking and handicap parking at street level;",Approved,07/17/2014,,APARTMENTS,,,,,CASE TRACKING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,05/02/2013,Resident,325 Fremont St,,true,PL Approved,100-249,0,0,High Density Residential,RH DTR,RINCON HILL DOWNTOWN RESIDENTIAL,85/250-R,Steve Vettel,Steve Vettel,"(37.7877662, -122.3929342)"
Western Addition,0870003,100 BUCHANAN ST,116,116,12/04/2014 12:00:00 AM,CONSTRUCTION,true,2004.0773,,,,201209059005,APARTMENTS,"BLDG 1 - ERECT 4 STORY, 2 BASEMENT, 116 DWELLING UNITS, TYPE 1A, NEW BUILDING. (AKA: 120, 188, 200 B",SHEAR WALL,12/04/2014,N,PERMIT TRACKING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Resident,100 Buchanan St,,true,Construction,100-249,160,160,Mixed Use,NC-3,"NEIGHBORHOOD COMMERCIAL, MODERATE SCALE",40-X/85-X/50-X,,,"(37.770856899999998, -122.4267431)"
South of Market,3753148,377 06TH ST,116,116,08/29/2014 12:00:00 AM,PL APPROVED,true,2014.0832,"The proposed project is to demolish the existing gas station and construct a new 8-story, 85-foot tall, 96,225-square-foot residential building with ground-floor retail.  The existing 1,610-square-foot building on the 12,990 square foot lot was construct",Approved,08/29/2014,,,,,,N,CASE TRACKING,4520,4520,0,0,0,0,0,4520,0,0,0,0,4520,0,10/09/2014,Mixres,377 06TH St,,true,PL Approved,100-249,0,0,Mixed Use,MUR,MIXED USE-RESIDENTIAL,85-X,"Nakash Enterprises, LLC",Will  Mollard,"(37.777664087200002, -122.404157099)"
South of Market,3753106,923 FOLSOM STREET,114,114,03/02/2015 12:00:00 AM,BP APPROVED,true,2012.1333,"The proposed project would include demolition of an existing 3,750 sq.ft., 3-story commercial office building related to MTR Western Sus Station and consturction of the site to a 4 and 8-story, 114 unit mixed-use residential building with approximately 1",,,201311202410,APARTMENTS,ERECT 9 STORIES OF 115 DWELLING UNITS. MIX USE,APPROVED,03/02/2015,N,CASE TRACKING,1800,1800,0,0,0,0,0,-8200,0,0,-10000,0,1800,0,05/23/2013,Mixres,923 Folsom St,,true,BP Approved/Issued/Re-Instated,100-249,0,0,Mixed Use,MUR,MIXED USE-RESIDENTIAL,85-X,Christopher Davenport,Christopher Davenport,"(37.7797172, -122.40396629999999)"
South of Market,3730015,1140 FOLSOM STREET,112,112,10/16/2013 12:00:00 AM,PL FILED,false,2013.0986,"The proposed project would remove the existing 14, 581 square feet building and parking lot and replace them with a new residential building over commercial.  Design high efficiency parking with BMR units on site. The proposed project would construct a 4",,10/04/2013,,,,,,N,CASE TRACKING,5600,5600,0,0,0,0,0,-8981,0,0,0,0,-8981,0,10/16/2013,Mixres,1140 Folsom St,,false,Planning Filed,100-249,0,0,Mixed Use,NCT,FOLSOM STREET NEIGHBORHOOD COMMERCIAL TRANSIT,40-X,John Bickford,John Bickford,"(37.776049, -122.40870200000001)"
Bayview,4991600,101 EXECUTIVE PARK BL,110,12,10/25/2010 12:00:00 AM,BP FILED,true,2003.1113,,Approved,06/16/2005,200512281146,APARTMENTS,GRADING,REINSPECT REQUI,10/25/2010,,PERMIT TRACKING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10/23/2003,Resident,101 Executive Park Blvd,,true,BP Filed,10-19,60,60,Commercial,C-2,COMMUNITY BUSINESS,165-I/200-I/OS/140-H/100-G/40-X,,,"(37.711286000000001, -122.394775)"
Downtown/Civic Center,0836007,1554 MARKET ST,110,110,11/22/2013 12:00:00 AM,BP FILED,false,,,,,201311222657,APARTMENTS,ERECT 12-STORY RESIDENTIAL & COMMERCIAL BUILDING.,,,N,PERMIT TRACKING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Resident,1554 Market St,,false,BP Filed,100-249,0,0,Commercial,C-3-G,DOWNTOWN- GENERAL,120-R-2,,,"(37.775100000000002, -122.42)"
Bayview,4591C042,101 DONAHUE ST,63,63,03/31/2015 12:00:00 AM,CONSTRUCTION,true,,,,,200907223197,APARTMENTS,,"ROUGH FRAME, PA",03/31/2015,,PERMIT TRACKING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,07/22/2009,Resident,101 Donahue St,,true,Construction,50-99,0,0,Public,P,PUBLIC,HP-RA,,,"(37.7150581, -122.3824994)"
Potrero Hill,4045003,2171 THIRD ST,109,109,06/21/2013 12:00:00 AM,BP FILED,false,2013.0784,"The proposal is to demolish the two existing industrial/office buildings on the 29,438-square-foot subject lot and construct two 7-story, 68-foot tall residential buildings. The proposed new buildings would have approximately 154,509 gross square feet of",,,201306210213,APARTMENTS,"ERECT MIXED-USE (RESIDENTIAL, RETAIL) NEW BUILDING.",,,N,PERMIT TRACKING,3143,3143,0,0,0,0,0,-20511,0,0,0,-23654,3143,0,09/10/2013,Mixres,2171 03rd St,,false,BP Filed,100-249,0,0,Mixed Use,UMU,URBAN MIXED USE,68-X,,,"(37.762371799999997, -122.3886103)"
Nob Hill,0667016,1545 PINE ST,103,103,12/03/2013 12:00:00 AM,BP FILED,true,2006.0383,"Demolish three existing buildings and construct two buildings, a 14-story building and a six-story building containing a total of 113 dwelling units, 113 parking spaces, and 10,000 sq. ft. of ground floor commercial. The new building would be approximate",Approved,10/02/2014,201312033256,APARTMENTS,"TO ERECT 12 STORIES, 2 BASEMENT, 107 RESIDENTIAL WITH RETAIL AND PARKING.",,,,CASE TRACKING,2700,2700,0,0,0,0,0,-25300,0,0,-16000,-12000,2700,0,11/21/2012,Mixres,1545 Pine St,,true,BP Filed,100-249,12,12,Mixed Use,RC-4,"RESIDENTIAL- COMMERCIAL, HIGH DENSITY",130-V,Eileen Long,Lucian Robert Blazej,"(37.789451800000002, -122.4212491)"
Western Addition,0757027,1239 TURK ST,98,98,03/27/2015 12:00:00 AM,CONSTRUCTION,true,,,,,201207104447,APARTMENTS,,OK TO POUR,03/27/2015,,PERMIT TRACKING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,07/10/2012,Resident,1239 Turk St,,true,Construction,50-99,0,0,Residential,RM-3,"RESIDENTIAL- MIXED, MEDIUM DENSITY",50-X,,,"(37.780832599999997, -122.42944060000001)"
Western Addition,0757025,1100 GOLDEN GATE AV,98,98,03/27/2015 12:00:00 AM,CONSTRUCTION,true,2008.1162,"New construction of 5-story, 145-foot tall housing tower(s) with 98 affordable senior rental units",APPROVED,02/02/2012,201207104447,APARTMENTS,ERECT TYPE 1 & TYPE V NEW BUILDING,OK TO POUR,03/27/2015,N,CASE TRACKING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12/11/2008,Resident,1100 Golden Gate Ave,,true,Construction,50-99,98,98,Residential,RM-3,"RESIDENTIAL- MIXED, MEDIUM DENSITY",50-X,Desiree Espinoza,Desiree Espinoza,"(37.780004699999999, -122.428684)"
Potrero Hill,3994001C,650 ILLINOIS ST,97,97,06/05/2014 12:00:00 AM,BP FILED,true,2010.0726,"Demolition of existing structures and the construction of a new 6-story, 65.4-ft-tall building with 71,225 sf of residential (97 dwellings) and 45 off-street parking spaces.",Approved,06/05/2014,,,,,,,manual,0,0,0,0,0,0,0,-15349,0,0,0,-15349,0,0,08/23/2010,Resident,650 Illinois St,,true,PL Approved,50-99,0,0,Mixed Use,UMU,URBAN MIXED USE,68-X,,,"(37.763928999999997, -122.38788099999999)"
Nob Hill,0250001,1401 CALIFORNIA ST,95,95,12/15/2011 12:00:00 AM,PL APPROVED,true,2011.1046,"Demolish Cala Foods and loading dock and construct 6-8-story, 95-unit residential mixed-use building, 31,000-sf retail, and 105 parking, 246,500-sf total. LEED Gold.",,,,,,,,N,CASE TRACKING,31000,31000,0,0,0,0,0,-19056,0,0,0,0,-19056,0,06/13/2008,Mixres,1401 California St,,true,PL Approved,50-99,0,0,Mixed Use,NCD,POLK STREET NEIGHBORHOOD COMMERCIAL,65-A,Lisa Congdon,Lisa Congdon,"(37.790616, -122.417821)"
Potrero Hill,4102026,645 TEXAS ST,94,94,01/27/2015 12:00:00 AM,BP ISSUED,true,2012.1218,"The proposed project would construct a new 4-story, 94 unit residential project over 64 off-street parking spaces. The proposed building would be 4 stories and 45 feet in height.",,,201312093691,APARTMENTS,ERECT 5-STORY TYPE-V NEW RESIDENTIAL BUILDING.,ISSUED,01/27/2015,N,CASE TRACKING,0,0,0,0,0,0,0,-30000,0,0,-10000,-20000,0,0,05/09/2013,Resident,645 Texas St,1300 22nd Street,true,BP Approved/Issued/Re-Instated,50-99,0,0,Mixed Use,MUR,MIXED USE-RESIDENTIAL,40-X,Peter & Daniel Cliff,Christopher Davenport,"(37.757962900000003, -122.394572)"
Nob Hill,0619009,1800 VAN NESS AVE.,94,94,10/20/2011 12:00:00 AM,PL APPROVED,true,2011.0094,Conditional Use for PUD,APPROVED W/ CON,10/20/2011,,,,CEQA,,,CASE TRACKING,4900,4900,0,0,0,0,0,-1050,3550,0,0,0,-4600,0,02/01/2011,Mixres,1800 Van Ness Ave,,true,PL Approved,50-99,0,0,Mixed Use,RC-4,"RESIDENTIAL- COMMERCIAL, HIGH DENSITY",80-D,Daniel S. Zemanek,Jared Eigerman,"(37.792549100000002, -122.42229159999999)"
Bayview,4884025,2600 ARELIOUS WALKER DR,93,93,10/02/2014 12:00:00 AM,BP ISSUED,true,,,,,201401166470,APARTMENTS,"TO ERECT 5 STORIES, NO BASEMENT, 93 DWELLINGS UNITS WITH PARKING(MAHER: COMPLIANCE WITH ORDINANCE NO",ISSUED,10/02/2014,N,PERMIT TRACKING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Resident,1901 Fitch St,,true,BP Approved/Issued/Re-Instated,50-99,0,0,Public,P,PUBLIC,OS,,,"(37.723030999999999, -122.381681)"
South of Market,3703062,1075 MARKET ST,90,90,02/12/2014 12:00:00 AM,PL FILED,false,2013.1690,"The project sponsor proposes to demolish the existing commercial building (former adult entertainment complex) and replace with a new 8-story mixed use (retail and residential) building with approximately 7,500 sf of retail space, 99 units and 24 parking",,,,,,,,N,CASE TRACKING,7500,7500,0,0,0,0,0,-15500,0,0,0,0,-15500,0,02/12/2014,Mixres,1075 Market St,,false,Planning Filed,50-99,0,0,Commercial,C-3-G,DOWNTOWN- GENERAL,90-X,Robert Huggins,Robert Huggins,"(37.780644000000002, -122.411615)"
